taxon	latitude	longitude
hOH10_97.2_41.053_80.706	41.053	80.706
hWVa01_93.2_40.505_80.575	40.505	80.575
NY01_03.4_41.057_73.794	41.057	73.794
NY03_03.4_42.934_76.565	42.934	76.565
NY04_03.4_42.617_75.037	42.617	75.037
NY12_03.4_42.996_78.170	42.996	78.17
NY516_92.5_42.137_75.888	42.137	75.888
NY771_92.5_41.125_74.015	41.125	74.015
PA.R89_89.6_40.803_75.031	40.803	75.031
PA11_04.7_40.033_78.480	40.033	78.48
PA13_04.7_40.871_79.930	40.871	79.93
PA23_104.6_39.924_78.091	39.924	78.091
PA28_04.5_40.588_77.634	40.588	77.634
PA30_104.2_39.998_79.029	39.998	79.029
PA39_04.7_40.326_79.562	40.326	79.562
PA62_103.2_40.183_80.139	40.183	80.139
rDE01_87.7_39.696_75.612	39.696	75.612
rMA01_92.7_42.330_71.840	42.33	71.84
rMD03_82.7_39.615_77.774	39.615	77.774
rMD06_82.2_39.622_78.803	39.622	78.803
rNC01_92.1_35.916_77.640	35.916	77.64
rNH01_92.0_42.896_71.583	42.896	71.583
rNH02_92.3_43.896_71.895	43.896	71.895
rNH03_92.9_42.963_71.078	42.963	71.078
rNJ02_94.3_39.088_74.799	39.088	74.799
rNJ08_03.4_41.100_74.665	41.1	74.665
rNJ10_03.5_39.955_74.776	39.955	74.776
rPA04_04.5_41.537_75.961	41.537	75.961
rTN02_03.4_36.310_82.188	36.31	82.188
rVA01_84.1_38.213_77.598	38.213	77.598
rVA04_85.3_37.714_77.444	37.714	77.444
rVA05_89.0_36.886_76.260	36.886	76.26
rVA06_92.4_37.174_80.395	37.174	80.395
rVA07_92.4_37.250_80.000	37.25	80
rVA08_94.0_37.797_75.635	37.797	75.635
rVA14_94.8_38.024_78.535	38.024	78.535
rVT01_94.5_43.029_73.108	43.029	73.108
rWV01_87.6_39.090_79.180	39.09	79.18
WV19_102.6_39.304_77.842	39.304	77.842
WV23_102.7_39.433_78.936	39.433	78.936
WV26_103.8_39.129_80.008	39.129	80.008
WVa02_02.6_37.901_80.508	37.901	80.508
WVa03_02.6_37.565_80.574	37.565	80.574
WVa04_02.6_37.347_81.155	37.347	81.155
WVa08_02.6_38.677_79.349	38.677	79.349
WVa14_02.7_39.050_78.886	39.05	78.886
WVa22_02.7_39.635_79.995	39.635	79.995

